城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
北京,2024-01,新建商品住宅,全部,99.9,101.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
北京,2024-01,二手住宅,全部,99.3,96.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
北京,2024-01,新建商品住宅,90m2及以下,100.1,101.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
北京,2024-01,新建商品住宅,90-144m2,99.8,100.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
北京,2024-01,新建商品住宅,144m2以上,99.9,101.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
北京,2024-01,二手住宅,90m2及以下,99.5,95.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
北京,2024-01,二手住宅,90-144m2,99.4,97.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
北京,2024-01,二手住宅,144m2以上,98.9,96.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
天津,2024-01,新建商品住宅,全部,100.1,102.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
天津,2024-01,二手住宅,全部,99.5,98.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
天津,2024-01,新建商品住宅,90m2及以下,100.3,102.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
天津,2024-01,新建商品住宅,90-144m2,100.0,101.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
天津,2024-01,新建商品住宅,144m2以上,100.3,102.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
天津,2024-01,二手住宅,90m2及以下,99.6,98.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
天津,2024-01,二手住宅,90-144m2,99.4,97.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
